4,0,1,0,0,0,0,1,0,81,0
17,0,0,1,0,0,0,1,0,20,0
0,0,1,0,0,0,0,0,1,132,1
19,1,0,0,0,0,1,0,0,158,0
9,0,0,1,0,0,0,1,0,100,1
4,0,0,0,1,0,0,1,0,163,1
6,1,0,0,0,0,0,0,1,48,0
21,0,0,1,0,0,0,0,1,164,1
9,0,1,0,0,0,0,1,0,102,0
2,0,1,0,0,1,0,0,0,121,0
11,0,1,0,0,0,0,1,0,186,1
14,0,0,1,0,0,1,0,0,74,1
19,0,0,0,1,0,0,0,1,60,1
10,1,0,0,0,1,0,0,0,109,1
14,0,1,0,0,0,1,0,0,157,1
1,0,0,1,0,0,1,0,0,87,0
22,1,0,0,0,0,1,0,0,190,0
18,0,0,1,0,0,1,0,0,92,1
11,1,0,0,0,0,0,0,1,145,1
3,0,0,0,1,1,0,0,0,138,0
18,0,0,1,0,0,0,1,0,24,1
1,0,1,0,0,0,0,0,1,58,1
16,0,0,0,1,0,0,1,0,116,0
2,0,0,0,1,1,0,0,0,106,0
12,0,0,0,1,0,1,0,0,140,0
19,0,1,0,0,1,0,0,0,106,0
0,0,0,0,1,0,0,1,0,38,0
6,0,0,1,0,1,0,0,0,67,0
2,1,0,0,0,0,0,0,1,157,0
20,0,0,1,0,1,0,0,0,23,0
4,0,0,0,1,0,0,0,1,51,0
17,1,0,0,0,1,0,0,0,19,1
15,0,0,1,0,0,0,0,1,77,1
14,1,0,0,0,0,1,0,0,145,0
13,0,0,0,1,1,0,0,0,129,1
1,0,0,1,0,0,0,0,1,119,0
20,0,1,0,0,0,0,1,0,155,0
22,0,1,0,0,1,0,0,0,169,0
11,1,0,0,0,1,0,0,0,75,1
1,0,0,0,1,0,1,0,0,158,0
8,0,1,0,0,1,0,0,0,188,1
22,0,0,1,0,0,0,0,1,126,1
6,0,0,1,0,0,0,0,1,142,0
21,0,0,1,0,1,0,0,0,59,1
22,0,0,1,0,0,0,1,0,106,0
18,0,0,1,0,0,0,1,0,7,1
12,0,0,1,0,0,0,0,1,85,1
6,0,0,0,1,0,1,0,0,2,1
16,0,0,1,0,0,0,0,1,8,1
23,1,0,0,0,0,0,0,1,127,1
6,0,0,0,1,1,0,0,0,113,1
11,0,0,1,0,0,0,1,0,91,0
5,0,0,0,1,0,0,0,1,69,1
3,0,0,1,0,1,0,0,0,2,0
2,1,0,0,0,0,1,0,0,144,1
15,0,1,0,0,0,1,0,0,32,1
8,0,1,0,0,0,0,0,1,190,1
16,0,0,0,1,0,0,0,1,183,1
17,0,1,0,0,1,0,0,0,0,1
8,1,0,0,0,0,0,0,1,181,0
16,0,1,0,0,0,0,1,0,39,1
2,1,0,0,0,1,0,0,0,65,1
3,0,0,1,0,1,0,0,0,37,1
8,0,0,1,0,0,0,1,0,5,1
0,0,0,0,1,0,1,0,0,157,1
21,0,0,0,1,0,0,1,0,38,1
14,0,0,1,0,0,0,0,1,137,0
9,0,0,1,0,0,0,1,0,96,1
6,0,0,0,1,0,0,0,1,139,0
12,0,1,0,0,1,0,0,0,37,1
11,0,1,0,0,0,1,0,0,141,1
18,1,0,0,0,0,0,0,1,34,0
1,0,0,0,1,0,0,1,0,183,1
19,0,0,1,0,0,0,0,1,12,0
15,0,0,0,1,0,0,1,0,110,1
22,0,0,1,0,0,1,0,0,161,0
9,1,0,0,0,0,0,1,0,14,1
11,1,0,0,0,0,0,1,0,168,1
13,0,1,0,0,0,0,1,0,160,1
3,0,1,0,0,0,0,0,1,117,0
7,0,0,0,1,1,0,0,0,63,1
2,1,0,0,0,0,0,1,0,48,1
1,0,1,0,0,0,0,0,1,169,1
17,0,1,0,0,0,1,0,0,53,1
18,0,1,0,0,0,0,1,0,64,1
3,1,0,0,0,0,0,1,0,10,0
0,0,0,1,0,0,1,0,0,194,1
13,0,0,0,1,0,1,0,0,118,1
18,0,1,0,0,0,0,0,1,165,1
2,0,0,1,0,0,0,1,0,128,0
15,0,0,0,1,0,0,1,0,85,0
17,0,0,1,0,1,0,0,0,29,0
21,0,0,1,0,1,0,0,0,115,0
14,0,0,1,0,0,1,0,0,96,0
17,0,0,0,1,0,1,0,0,133,0
15,0,0,1,0,0,0,0,1,23,1
14,1,0,0,0,0,1,0,0,122,0
17,0,0,1,0,0,1,0,0,114,0
22,0,0,1,0,0,0,1,0,10,0
23,0,0,0,1,1,0,0,0,65,0
7,0,0,0,1,0,0,0,1,2,0
0,0,0,1,0,0,0,1,0,159,0
1,1,0,0,0,1,0,0,0,38,1
18,1,0,0,0,0,1,0,0,130,0
9,0,0,1,0,0,0,1,0,60,1
19,0,0,0,1,0,1,0,0,27,0
22,0,1,0,0,1,0,0,0,51,0
14,0,0,0,1,0,1,0,0,165,1
19,0,0,0,1,0,1,0,0,101,0
20,0,0,0,1,0,0,0,1,19,0
3,0,1,0,0,0,1,0,0,55,0
5,0,1,0,0,0,1,0,0,48,0
4,0,0,0,1,0,0,0,1,95,0
10,0,0,1,0,1,0,0,0,127,0
14,0,0,1,0,0,0,1,0,123,0
18,0,1,0,0,0,1,0,0,141,0
9,0,0,1,0,0,0,0,1,79,1
3,0,1,0,0,0,0,1,0,69,0
1,0,0,1,0,0,0,0,1,161,0
9,0,0,0,1,0,1,0,0,45,0
4,1,0,0,0,0,0,1,0,189,0
22,1,0,0,0,0,0,0,1,14,1
9,0,1,0,0,1,0,0,0,142,1
1,0,0,1,0,0,0,1,0,164,1
14,0,0,0,1,0,1,0,0,45,0
20,0,0,0,1,0,1,0,0,97,1
5,0,0,0,1,1,0,0,0,178,0
9,1,0,0,0,0,1,0,0,66,1
16,0,0,1,0,0,1,0,0,194,0
1,1,0,0,0,0,1,0,0,170,1
15,1,0,0,0,1,0,0,0,181,0
0,0,1,0,0,0,0,0,1,174,1
4,0,0,0,1,0,0,1,0,33,1
9,1,0,0,0,1,0,0,0,89,0
4,0,0,0,1,1,0,0,0,173,1
4,0,1,0,0,0,0,1,0,100,0
5,0,1,0,0,0,0,1,0,89,0
20,0,1,0,0,1,0,0,0,10,1
1,1,0,0,0,0,1,0,0,51,0
10,1,0,0,0,0,0,0,1,83,0
6,0,0,1,0,0,0,1,0,29,1
9,1,0,0,0,1,0,0,0,128,1
15,0,0,0,1,1,0,0,0,56,0
6,1,0,0,0,0,0,1,0,65,1
12,1,0,0,0,1,0,0,0,69,1
1,0,0,0,1,0,1,0,0,21,0
5,0,0,1,0,1,0,0,0,107,1
13,0,0,1,0,0,0,1,0,80,1
20,0,1,0,0,0,0,1,0,6,0
3,0,0,0,1,0,1,0,0,148,0
14,0,0,0,1,0,1,0,0,182,0
21,0,0,0,1,0,0,1,0,120,0
21,1,0,0,0,0,0,0,1,121,0
0,0,0,1,0,1,0,0,0,192,1
22,0,0,1,0,1,0,0,0,27,0
3,0,0,1,0,0,0,1,0,172,1
19,0,1,0,0,0,1,0,0,39,0
